source,target,editDistance
hVSMC-0242,hVSMC-0970,14
hVSMC-0242,hVSMC-0946,13
hVSMC-0242,hVSMC-0773,13
hVSMC-0242,hVSMC-0725,13
hVSMC-0242,hVSMC-0668,8
hVSMC-0242,hVSMC-0400,8
hVSMC-0242,hVSMC-0383,3
hVSMC-0242,hVSMC-0372,7
hVSMC-0242,hVSMC-0328,2
hVSMC-0242,hVSMC-0327,2
hVSMC-0242,hVSMC-0312,2
hVSMC-0242,hVSMC-0296,7
hVSMC-0242,hVSMC-0272,2
hVSMC-0242,hVSMC-0249,3
hVSMC-0238,hVSMC-1995,16
hVSMC-0238,hVSMC-1303,12
hVSMC-0238,hVSMC-1100,16
hVSMC-0238,hVSMC-0970,15
hVSMC-0238,hVSMC-0946,14
hVSMC-0238,hVSMC-0773,14
hVSMC-0238,hVSMC-0725,14
hVSMC-0238,hVSMC-0668,7
hVSMC-0238,hVSMC-0400,8
hVSMC-0238,hVSMC-0383,3
hVSMC-0238,hVSMC-0372,6
hVSMC-0238,hVSMC-0328,2
hVSMC-0238,hVSMC-0327,2
hVSMC-0238,hVSMC-0312,2
hVSMC-0238,hVSMC-0296,7
hVSMC-0238,hVSMC-0272,2
hVSMC-0238,hVSMC-0249,3
hVSMC-0238,hVSMC-0242,2
hVSMC-0204,hVSMC-1995,14
hVSMC-0204,hVSMC-1303,12
hVSMC-0204,hVSMC-1100,13
hVSMC-0204,hVSMC-0970,14
hVSMC-0204,hVSMC-0946,14
hVSMC-0204,hVSMC-0773,14
hVSMC-0204,hVSMC-0725,13
hVSMC-0204,hVSMC-0668,3
hVSMC-0204,hVSMC-0400,3
hVSMC-0204,hVSMC-0383,7
hVSMC-0204,hVSMC-0372,2
hVSMC-0204,hVSMC-0328,7
hVSMC-0204,hVSMC-0327,7
hVSMC-0204,hVSMC-0312,7
hVSMC-0204,hVSMC-0296,3
hVSMC-0204,hVSMC-0272,7
hVSMC-0204,hVSMC-0249,8
hVSMC-0204,hVSMC-0242,7
hVSMC-0204,hVSMC-0238,7
hVSMC-0203,hVSMC-1995,13
hVSMC-0203,hVSMC-1303,10
